Price,Large,Old,Orientation
68000,19,12,East
68000,19,12,North
69000,19,14,North
70000,19,14,North
72000,15,9,West
77000,20,14,East
77000,20,14,North
78000,21,15,North
79000,22,10,West
79000,22,10,North
79000,20,9,East
80000,20,10,East
80000,21,15,South
80000,22,14,East
81000,22,10,North
82000,22,11,North
82000,21,15,North
82000,20,9,West
83000,22,13,East
83000,21,11,West
83000,22,14,North
84000,21,6,South
84000,21,15,West
84000,22,9,East
84000,20,9,South
85000,21,6,East
85000,25,8,East
85000,21,6,East
85000,21,11,North
86000,21,11,West
86000,21,6,West
86000,21,16,South
86000,22,14,North
86000,23,6,South
86000,20,9,North
87000,21,9,West
87000,21,6,West
87500,20,9,West
88000,23,16,West
88000,21,9,West
89000,20,4,East
89000,25,10,West
89000,25,6,West
89000,23,6,West
90000,21,9,North
90000,22,9,West
90000,26,6,South
90000,27,5,East
90000,27,5,North
91000,27,5,South
91800,22,6,East
92000,23,3,East
92000,21,7,East
93000,22,12,North
93000,22,6,West
93500,21,7,North
94000,26,4,South
94000,21,5,West
95000,20,4,East
96000,26,6,North
96500,26,0,South
97000,26,5,East
97000,26,9,East
97000,29,7,West
98000,21,6,North
98000,22,6,North
98000,26,6,East
98000,25,8,West
98500,22,8,North
98500,26,0,West
99000,29,15,West
99000,25,12,East
99000,22,8,West
99000,25,6,North
99000,26,6,North
99000,26,9,West
99000,24,5,North
99000,24,0,North
99500,26,0,East
100000,26,4,South
100000,26,9,West
100000,24,6,North
100000,26,6,West
100000,26,9,East
101000,26,4,West
101000,24,5,East
102000,31,19,West
103000,27,8,East
104000,22,6,North
104000,22,6,North
104000,27,8,West
104000,27,8,North
104000,30,2,East
105000,26,4,North
105000,25,4,East
105000,25,5,East
105000,22,6,East
108000,22,6,West
109000,25,10,East
110000,30,9,East
111000,27,6,South
111000,37,0,South
112000,31,9,South
113000,29,14,South
113000,40,23,North
114000,36,19,West
115000,24,6,South
115000,25,9,South
115000,32,15,East
115000,40,23,North
120000,31,14,South
120000,35,10,West
120000,29,14,East
120000,33,9,South
122000,29,4,North
122000,37,23,West
123000,29,4,South
124000,33,15,North
124000,29,4,West
124000,31,8,South
124000,28,14,East
125000,29,4,South
125000,31,2,North
128000,24,6,East
130000,54,19,South
131000,46,23,South
134000,38,13,South
135000,38,11,South
135000,38,13,South
135000,42,23,South
135000,46,23,South
139000,44,19,South
139000,60,23,West
142000,30,5,South
145000,45,23,South
145000,40,8,South
145000,54,28,East
148000,42,13,South
148000,42,13,South
150000,41,5,South
